id,gender,age,degree,field,sd_1,sd_2,sd_3,sd_4,sd_5,sd_6,ai_experience,info_use_1,info_use_2,info_use_3,info_use_4,info_use_5,inter_style,crit_visible_chat,self_assess_1,self_assess_2,self_assess_3,n_chats_valid,obs_info_n,obs_schreiben_n,obs_praktisch_n,obs_technisch_n,obs_lernen_n,obs_sent_freundlich_n,obs_sent_neutral_n,obs_sent_unfreundlich_n,obs_kritisch_ja_n,obs_kritisch_nein_n
339,2.0,24.0,2.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,1.0,3.0,2.0,4.0,,2.0,2.0,5.0,5.0,4.0,5,0,2,1,2,0,5,0,0,4,1
340,2.0,29.0,2.0,3.0,2.0,1.0,3.0,5.0,5.0,3.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,4.0,5,0,1,0,4,0,0,5,0,1,4
341,1.0,24.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,5.0,2.0,2.0,1.0,5.0,,3.0,5.0,4.0,5.0,3.0,5,2,0,0,3,0,0,5,0,0,5
345,1.0,22.0,1.0,5.0,4.0,3.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,1.0,3.0,,2.0,4.0,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1.0,21.0,1.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,,4.0,,4.0,1.0,4.0,,,,,,,,,,,,,,
350,1.0,23.0,1.0,8.0,4.0,5.0,4.0,2.0,1.0,1.0,4.0,6.0,,1.0,3.0,,2.0,2.0,2.0,5.0,3.0,5,1,0,0,3,1,0,5,0,2,3
351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,1.0,24.0,1.0,9.0,3.0,4.0,4.0,4.0,5.0,1.0,4.0,2.0,1.0,2.0,5.0,,2.0,5.0,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
356,2.0,24.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,0.0,6.0,4.0,,,2.0,5.0,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,1.0,21.0,1.0,4.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,,,2.0,5.0,4.0,5.0,2.0,5,4,0,0,1,0,0,4,1,1,4
361,1.0,19.0,3.0,10.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,,0.0,4.0,2.0,2.0,5.0,2.0,4.0,5,2,1,1,1,0,1,2,2,0,5
362,2.0,25.0,2.0,8.0,5.0,3.0,2.0,4.0,1.0,1.0,4.0,,1.0,1.0,8.0,,3.0,4.0,5.0,2.0,3.0,5,0,0,1,4,0,4,1,0,3,2
363,2.0,23.0,1.0,3.0,4.0,4.0,5.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,3.0,,4.0,1.0,5.0,5.0,1.0,5,0,3,0,2,0,2,2,1,1,4
364,2.0,25.0,2.0,3.0,5.0,2.0,3.0,4.0,4.0,1.0,4.0,,4.0,1.0,5.0,,3.0,1.0,5.0,1.0,1.0,5,0,1,3,1,0,2,3,0,0,5
365,1.0,24.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,5.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,2.0,3.0,2.0,5,0,0,0,4,1,0,5,0,1,4
366,2.0,26.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,5,0,1,1,2,1,1,4,0,1,4
367,2.0,22.0,2.0,3.0,4.0,5.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,,4.0,5.0,5.0,4.0,2.0,5,0,1,0,4,0,0,5,0,1,4
368,1.0,24.0,2.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,,,2.0,4.0,4.0,5.0,3.0,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,2.0,20.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,5.0,4.0,2.0,0.0,,4.0,1.0,2.0,,,,,,,,,,,,,,
372,,,,,,,,,,,5.0,6.0,2.0,1.0,1.0,,3.0,5.0,,,,,,,,,,,,,,
374,,,,,,,,,,,5.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
